BOND LENGTH STATS (Column blocks for type-type combinations (lengths in Angstrom))
      Frame,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths,      Type1,      Type2, Avg Length,    Std Dev, Max Length, Min Length,  N Lengths
          1,      Total,      Total,   2.678905,   0.111678,   3.299901,   2.286357,       2328,          1,          1,   2.762950,   0.108088,   3.299901,   2.506034,        449,          1,          2,   2.659166,   0.102307,   2.971172,   2.398985,       1877,          2,          2,   2.335937,   0.049580,   2.385517,   2.286357,          2
          2,      Total,      Total,   2.677022,   0.108591,   3.264329,   2.328918,       2327,          1,          1,   2.751735,   0.104753,   3.264329,   2.484222,        448,          1,          2,   2.659832,   0.100881,   2.993639,   2.348625,       1875,          2,          2,   2.366648,   0.023240,   2.386333,   2.328918,          4
          3,      Total,      Total,   2.680983,   0.120835,   3.299011,   2.357761,       2338,          1,          1,   2.786338,   0.129206,   3.299011,   2.460074,        457,          1,          2,   2.655673,   0.103318,   2.993876,   2.357761,       1879,          2,          2,   2.386093,   0.005426,   2.391519,   2.380667,          2
          4,      Total,      Total,   2.678194,   0.116323,   3.298864,   2.310972,       2325,          1,          1,   2.759435,   0.105640,   3.298864,   2.528608,        449,          1,          2,   2.660016,   0.108689,   2.996113,   2.335739,       1868,          2,          2,   2.363100,   0.028679,   2.391326,   2.310972,          8
          5,      Total,      Total,   2.678621,   0.117377,   3.271547,   2.290973,       2324,          1,          1,   2.760647,   0.116698,   3.271547,   2.453784,        448,          1,          2,   2.660298,   0.107214,   2.993516,   2.348561,       1868,          2,          2,   2.363529,   0.034094,   2.399155,   2.290973,          8
          6,      Total,      Total,   2.682516,   0.122745,   3.293743,   2.333721,       2332,          1,          1,   2.768023,   0.120947,   3.293743,   2.493240,        452,          1,          2,   2.662885,   0.112971,   2.998169,   2.333721,       1874,          2,          2,   2.372209,   0.014336,   2.387699,   2.351579,          6
          7,      Total,      Total,   2.678160,   0.122070,   3.292131,   2.290651,       2338,          1,          1,   2.759074,   0.122134,   3.292131,   2.428620,        452,          1,          2,   2.661218,   0.110877,   2.998070,   2.298561,       1871,          2,          2,   2.353096,   0.029882,   2.393611,   2.290651,         15
          8,      Total,      Total,   2.679203,   0.127340,   3.298885,   2.232935,       2334,          1,          1,   2.759094,   0.136205,   3.298885,   2.422011,        455,          1,          2,   2.662040,   0.114534,   2.996920,   2.320866,       1866,          2,          2,   2.346548,   0.052007,   2.395487,   2.232935,         13
          9,      Total,      Total,   2.682851,   0.132590,   3.299208,   2.276088,       2332,          1,          1,   2.781824,   0.136403,   3.299208,   2.429475,        458,          1,          2,   2.660929,   0.117321,   2.999518,   2.320914,       1860,          2,          2,   2.357542,   0.029782,   2.394120,   2.276088,         14
         10,      Total,      Total,   2.681206,   0.134734,   3.298986,   2.283918,       2333,          1,          1,   2.780709,   0.145656,   3.298986,   2.389452,        462,          1,          2,   2.658205,   0.118128,   2.990550,   2.297091,       1861,          2,          2,   2.364652,   0.044726,   2.399611,   2.283918,         10
         11,      Total,      Total,   2.680219,   0.134496,   3.293455,   2.282677,       2337,          1,          1,   2.778715,   0.138508,   3.293455,   2.463557,        463,          1,          2,   2.657982,   0.119549,   2.995576,   2.304838,       1861,          2,          2,   2.355509,   0.030057,   2.395134,   2.282677,         13
         12,      Total,      Total,   2.679984,   0.131512,   3.295531,   2.226932,       2327,          1,          1,   2.764080,   0.128750,   3.295531,   2.448108,        453,          1,          2,   2.661443,   0.121980,   2.999794,   2.286449,       1863,          2,          2,   2.356963,   0.048243,   2.398546,   2.226932,         11
         13,      Total,      Total,   2.683502,   0.137810,   3.267358,   2.283451,       2333,          1,          1,   2.777045,   0.131993,   3.267358,   2.448624,        457,          1,          2,   2.663333,   0.126697,   2.999268,   2.315612,       1860,          2,          2,   2.356367,   0.035805,   2.398089,   2.283451,         16
         14,      Total,      Total,   2.680031,   0.139818,   3.298478,   2.233483,       2339,          1,          1,   2.771331,   0.143786,   3.298478,   2.474278,        460,          1,          2,   2.660389,   0.126484,   2.995505,   2.260448,       1863,          2,          2,   2.342350,   0.045057,   2.396280,   2.233483,         16
         15,      Total,      Total,   2.684221,   0.142398,   3.275107,   2.247140,       2321,          1,          1,   2.786666,   0.145021,   3.275107,   2.417803,        456,          1,          2,   2.661760,   0.126997,   2.995602,   2.293971,       1851,          2,          2,   2.317224,   0.032229,   2.378336,   2.247140,         14
         16,      Total,      Total,   2.685581,   0.153502,   3.290329,   2.243578,       2333,          1,          1,   2.794339,   0.166882,   3.290329,   2.460703,        472,          1,          2,   2.661464,   0.133577,   2.999203,   2.310441,       1840,          2,          2,   2.354173,   0.041773,   2.398138,   2.243578,         21
         17,      Total,      Total,   2.686031,   0.148318,   3.299781,   2.142736,       2319,          1,          1,   2.792924,   0.151983,   3.299781,   2.427844,        458,          1,          2,   2.663982,   0.130379,   2.999583,   2.266449,       1837,          2,          2,   2.333791,   0.065883,   2.392624,   2.142736,         24
         18,      Total,      Total,   2.688410,   0.151434,   3.292299,   2.236370,       2331,          1,          1,   2.799000,   0.155299,   3.292299,   2.412195,        463,          1,          2,   2.664512,   0.133988,   2.999786,   2.268613,       1847,          2,          2,   2.352066,   0.041903,   2.397693,   2.236370,         21
         19,      Total,      Total,   2.685291,   0.150855,   3.294605,   2.197052,       2312,          1,          1,   2.797327,   0.157575,   3.294605,   2.414257,        463,          1,          2,   2.661275,   0.131080,   2.999239,   2.251319,       1826,          2,          2,   2.336586,   0.060137,   2.399613,   2.197052,         23
         20,      Total,      Total,   2.685050,   0.150937,   3.294000,   2.212089,       2326,          1,          1,   2.786351,   0.155903,   3.294000,   2.327747,        463,          1,          2,   2.662454,   0.136124,   2.999962,   2.261702,       1848,          2,          2,   2.342008,   0.047683,   2.398260,   2.212089,         15
         21,      Total,      Total,   2.684140,   0.155566,   3.284713,   2.246719,       2303,          1,          1,   2.804253,   0.157593,   3.284713,   2.460690,        469,          1,          2,   2.657348,   0.135635,   2.992924,   2.253500,       1811,          2,          2,   2.344468,   0.046673,   2.399461,   2.246719,         23
         22,      Total,      Total,   2.686533,   0.162210,   3.295968,   2.232374,       2338,          1,          1,   2.817543,   0.169753,   3.295968,   2.428750,        483,          1,          2,   2.657423,   0.137270,   2.995124,   2.259607,       1824,          2,          2,   2.358069,   0.040115,   2.399379,   2.232374,         31
         23,      Total,      Total,   2.689692,   0.163113,   3.292878,   2.157783,       2306,          1,          1,   2.818814,   0.175386,   3.292878,   2.452141,        483,          1,          2,   2.659359,   0.137394,   2.998765,   2.157783,       1801,          2,          2,   2.338021,   0.055319,   2.398311,   2.199052,         22
         24,      Total,      Total,   2.690503,   0.168969,   3.299863,   2.220911,       2305,          1,          1,   2.815782,   0.180579,   3.299863,   2.430923,        477,          1,          2,   2.662908,   0.144948,   2.998523,   2.281036,       1799,          2,          2,   2.341718,   0.050477,   2.399336,   2.220911,         29
         25,      Total,      Total,   2.690997,   0.175195,   3.299436,   2.203399,       2314,          1,          1,   2.838655,   0.179666,   3.299436,   2.372650,        488,          1,          2,   2.658170,   0.145615,   2.998672,   2.249496,       1788,          2,          2,   2.339363,   0.049819,   2.395186,   2.203399,         38
         26,      Total,      Total,   2.693320,   0.175784,   3.290915,   2.211652,       2297,          1,          1,   2.847214,   0.181859,   3.290915,   2.414206,        495,          1,          2,   2.655481,   0.144758,   2.999438,   2.211652,       1776,          2,          2,   2.348162,   0.032252,   2.390547,   2.262579,         26
         27,      Total,      Total,   2.688307,   0.175984,   3.290231,   2.174134,       2240,          1,          1,   2.830131,   0.181660,   3.290231,   2.403320,        479,          1,          2,   2.656305,   0.147577,   2.996184,   2.254564,       1725,          2,          2,   2.334651,   0.051054,   2.399627,   2.174134,         36
         28,      Total,      Total,   2.692445,   0.168200,   3.288602,   2.145889,       2221,          1,          1,   2.801105,   0.167133,   3.288602,   2.328550,        473,          1,          2,   2.670961,   0.148916,   2.998072,   2.299559,       1707,          2,          2,   2.333380,   0.051702,   2.398488,   2.145889,         41
         29,      Total,      Total,   2.685830,   0.181248,   3.299628,   2.178901,       2236,          1,          1,   2.828558,   0.185860,   3.299628,   2.366061,        485,          1,          2,   2.657875,   0.149314,   2.999440,   2.193506,       1688,          2,          2,   2.336062,   0.050490,   2.397270,   2.178901,         63
         30,      Total,      Total,   2.682898,   0.173877,   3.294062,   2.179426,       2229,          1,          1,   2.824428,   0.178645,   3.294062,   2.419618,        480,          1,          2,   2.651920,   0.143779,   2.998605,   2.272141,       1707,          2,          2,   2.324427,   0.056282,   2.398158,   2.179426,         42
         31,      Total,      Total,   2.687945,   0.182529,   3.298142,   2.163462,       2211,          1,          1,   2.827472,   0.185020,   3.298142,   2.368649,        486,          1,          2,   2.658309,   0.153505,   2.999482,   2.275137,       1674,          2,          2,   2.331086,   0.055005,   2.394211,   2.163462,         51
         32,      Total,      Total,   2.690354,   0.186849,   3.295783,   2.198413,       2209,          1,          1,   2.838619,   0.188375,   3.295783,   2.425741,        485,          1,          2,   2.660111,   0.154692,   2.998375,   2.237216,       1664,          2,          2,   2.330620,   0.049062,   2.399063,   2.198413,         60
         33,      Total,      Total,   2.686654,   0.187831,   3.295910,   2.155001,       2207,          1,          1,   2.823076,   0.195684,   3.295910,   2.409704,        492,          1,          2,   2.660474,   0.155205,   2.999963,   2.233093,       1650,          2,          2,   2.318596,   0.053421,   2.395590,   2.155001,         65
         34,      Total,      Total,   2.687741,   0.196166,   3.295526,   2.141714,       2176,          1,          1,   2.840526,   0.204177,   3.295526,   2.335231,        502,          1,          2,   2.652992,   0.160572,   2.999682,   2.141714,       1616,          2,          2,   2.333553,   0.058059,   2.393218,   2.142427,         58
         35,      Total,      Total,   2.686638,   0.200299,   3.299046,   2.077047,       2168,          1,          1,   2.854881,   0.207752,   3.299046,   2.326262,        512,          1,          2,   2.649850,   0.154537,   2.999406,   2.223935,       1579,          2,          2,   2.322313,   0.064688,   2.399632,   2.077047,         77
         36,      Total,      Total,   2.690804,   0.204833,   3.299328,   2.188859,       2135,          1,          1,   2.860298,   0.214498,   3.299328,   2.317755,        497,          1,          2,   2.656223,   0.159444,   2.999904,   2.209156,       1552,          2,          2,   2.335361,   0.054559,   2.399689,   2.188859,         86
         37,      Total,      Total,   2.691999,   0.211322,   3.298385,   2.094707,       2100,          1,          1,   2.858622,   0.211429,   3.298385,   2.424326,        527,          1,          2,   2.659353,   0.162663,   2.999770,   2.196619,       1465,          2,          2,   2.321782,   0.065500,   2.399466,   2.094707,        108
         38,      Total,      Total,   2.684527,   0.215426,   3.296921,   2.146733,       2037,          1,          1,   2.856274,   0.204891,   3.296921,   2.385754,        523,          1,          2,   2.653141,   0.165237,   2.999507,   2.197876,       1391,          2,          2,   2.309206,   0.062136,   2.399335,   2.146733,        123
         39,      Total,      Total,   2.683347,   0.223782,   3.292272,   2.161826,       1997,          1,          1,   2.849159,   0.215906,   3.292272,   2.302601,        527,          1,          2,   2.659854,   0.173887,   2.998644,   2.221165,       1311,          2,          2,   2.327475,   0.053234,   2.399936,   2.161826,        159
         40,      Total,      Total,   2.674943,   0.222260,   3.297793,   2.145534,       1914,          1,          1,   2.826082,   0.215366,   3.297793,   2.358502,        530,          1,          2,   2.655194,   0.173139,   2.999907,   2.186716,       1228,          2,          2,   2.316917,   0.060628,   2.399629,   2.145534,        156
         41,      Total,      Total,   2.674703,   0.222478,   3.298086,   2.153736,       1903,          1,          1,   2.829861,   0.208593,   3.298086,   2.363983,        536,          1,          2,   2.656500,   0.170886,   2.999931,   2.252692,       1195,          2,          2,   2.317659,   0.065916,   2.399876,   2.153736,        172
         42,      Total,      Total,   2.672876,   0.224660,   3.299745,   2.110957,       1927,          1,          1,   2.829304,   0.216404,   3.299745,   2.354385,        535,          1,          2,   2.659777,   0.168613,   2.999892,   2.134149,       1200,          2,          2,   2.318868,   0.061676,   2.399882,   2.110957,        192
         43,      Total,      Total,   2.675839,   0.226080,   3.299900,   2.084880,       1846,          1,          1,   2.830968,   0.219346,   3.299900,   2.363274,        547,          1,          2,   2.650532,   0.172801,   2.999835,   2.174934,       1139,          2,          2,   2.325643,   0.056436,   2.399976,   2.084880,        160
         44,      Total,      Total,   2.671234,   0.226500,   3.299357,   2.125490,       1856,          1,          1,   2.827106,   0.218280,   3.299357,   2.316350,        536,          1,          2,   2.654704,   0.170122,   2.998196,   2.249691,       1136,          2,          2,   2.319227,   0.060281,   2.399438,   2.125490,        184
         45,      Total,      Total,   2.664994,   0.226205,   3.299879,   2.150820,       1878,          1,          1,   2.821662,   0.214010,   3.299879,   2.348525,        532,          1,          2,   2.652491,   0.171691,   2.998970,   2.255793,       1147,          2,          2,   2.318223,   0.061424,   2.399866,   2.150820,        199
         46,      Total,      Total,   2.666328,   0.229323,   3.297005,   2.119094,       1875,          1,          1,   2.828592,   0.222840,   3.297005,   2.329757,        526,          1,          2,   2.647673,   0.175313,   2.999150,   2.174039,       1164,          2,          2,   2.322351,   0.055272,   2.398730,   2.119094,        185
         47,      Total,      Total,   2.666418,   0.231381,   3.299307,   2.113101,       1826,          1,          1,   2.831331,   0.219851,   3.299307,   2.347179,        544,          1,          2,   2.641848,   0.173740,   2.999075,   2.216599,       1103,          2,          2,   2.316624,   0.067159,   2.398979,   2.113101,        179
         48,      Total,      Total,   2.670718,   0.222687,   3.294998,   2.072199,       1854,          1,          1,   2.812962,   0.211409,   3.294998,   2.351057,        539,          1,          2,   2.659150,   0.170312,   2.999133,   2.180857,       1139,          2,          2,   2.309965,   0.069380,   2.399648,   2.072199,        176
         49,      Total,      Total,   2.665774,   0.230868,   3.295969,   2.132294,       1805,          1,          1,   2.815304,   0.229674,   3.295969,   2.310609,        522,          1,          2,   2.648633,   0.179850,   2.997471,   2.164239,       1110,          2,          2,   2.324574,   0.060300,   2.398674,   2.132294,        173
         50,      Total,      Total,   2.665824,   0.229818,   3.299886,   2.115965,       1835,          1,          1,   2.814458,   0.216449,   3.299886,   2.305754,        542,          1,          2,   2.657045,   0.176066,   2.999455,   2.209418,       1090,          2,          2,   2.316121,   0.064808,   2.399512,   2.115965,        203
         51,      Total,      Total,   2.664544,   0.231847,   3.286312,   2.035252,       1805,          1,          1,   2.808929,   0.225145,   3.286312,   2.279163,        533,          1,          2,   2.656034,   0.176958,   2.998877,   2.187068,       1080,          2,          2,   2.311594,   0.074976,   2.399314,   2.035252,        192
