BOND TYPE FRACTIONS (Fraction of i-j bonds from total number of bonds)
      Frame,       1  1,       1  2,       2  2,      Bonds
          1,   0.192869,   0.806271,   0.000859,       2328
          2,   0.192523,   0.805758,   0.001719,       2327
          3,   0.195466,   0.803678,   0.000855,       2338
          4,   0.193118,   0.803441,   0.003441,       2325
          5,   0.192771,   0.803787,   0.003442,       2324
          6,   0.193825,   0.803602,   0.002573,       2332
          7,   0.193328,   0.800257,   0.006416,       2338
          8,   0.194944,   0.799486,   0.005570,       2334
          9,   0.196398,   0.797599,   0.006003,       2332
         10,   0.198028,   0.797685,   0.004286,       2333
         11,   0.198117,   0.796320,   0.005563,       2337
         12,   0.194671,   0.800602,   0.004727,       2327
         13,   0.195885,   0.797257,   0.006858,       2333
         14,   0.196665,   0.796494,   0.006841,       2339
         15,   0.196467,   0.797501,   0.006032,       2321
         16,   0.202315,   0.788684,   0.009001,       2333
         17,   0.197499,   0.792152,   0.010349,       2319
         18,   0.198627,   0.792364,   0.009009,       2331
         19,   0.200260,   0.789792,   0.009948,       2312
         20,   0.199054,   0.794497,   0.006449,       2326
         21,   0.203647,   0.786366,   0.009987,       2303
         22,   0.206587,   0.780154,   0.013259,       2338
         23,   0.209454,   0.781006,   0.009540,       2306
         24,   0.206941,   0.780477,   0.012581,       2305
         25,   0.210890,   0.772688,   0.016422,       2314
         26,   0.215498,   0.773182,   0.011319,       2297
         27,   0.213839,   0.770089,   0.016071,       2240
         28,   0.212967,   0.768573,   0.018460,       2221
         29,   0.216905,   0.754919,   0.028175,       2236
         30,   0.215343,   0.765814,   0.018843,       2229
         31,   0.219810,   0.757123,   0.023066,       2211
         32,   0.219556,   0.753282,   0.027162,       2209
         33,   0.222927,   0.747621,   0.029452,       2207
         34,   0.230699,   0.742647,   0.026654,       2176
         35,   0.236162,   0.728321,   0.035517,       2168
         36,   0.232787,   0.726932,   0.040281,       2135
         37,   0.250952,   0.697619,   0.051429,       2100
         38,   0.256750,   0.682867,   0.060383,       2037
         39,   0.263896,   0.656485,   0.079619,       1997
         40,   0.276907,   0.641588,   0.081505,       1914
         41,   0.281661,   0.627956,   0.090384,       1903
         42,   0.277634,   0.622730,   0.099637,       1927
         43,   0.296316,   0.617010,   0.086674,       1846
         44,   0.288793,   0.612069,   0.099138,       1856
         45,   0.283280,   0.610756,   0.105964,       1878
         46,   0.280533,   0.620800,   0.098667,       1875
         47,   0.297919,   0.604053,   0.098028,       1826
         48,   0.290723,   0.614347,   0.094930,       1854
         49,   0.289197,   0.614958,   0.095845,       1805
         50,   0.295368,   0.594005,   0.110627,       1835
         51,   0.295291,   0.598338,   0.106371,       1805
         52,   0.312321,   0.582235,   0.105444,       1745
         53,   0.309890,   0.574725,   0.115385,       1820
         54,   0.304443,   0.583653,   0.111903,       1823
         55,   0.304709,   0.573961,   0.121330,       1805
         56,   0.293484,   0.601133,   0.105382,       1765
         57,   0.295480,   0.607910,   0.096610,       1770
         58,   0.295890,   0.596712,   0.107397,       1825
         59,   0.298753,   0.599206,   0.102041,       1764
         60,   0.300056,   0.582165,   0.117779,       1783
         61,   0.287618,   0.599667,   0.112715,       1801
         62,   0.300683,   0.591116,   0.108200,       1756
         63,   0.285555,   0.609593,   0.104852,       1793
         64,   0.289054,   0.600342,   0.110604,       1754
         65,   0.289001,   0.601010,   0.109989,       1782
         66,   0.282572,   0.614777,   0.102651,       1773
         67,   0.291290,   0.610294,   0.098416,       1768
         68,   0.281268,   0.606112,   0.112620,       1767
         69,   0.283425,   0.603315,   0.113260,       1810
         70,   0.287179,   0.608547,   0.104274,       1755
         71,   0.304807,   0.588511,   0.106682,       1706
         72,   0.284974,   0.609096,   0.105930,       1737
         73,   0.277360,   0.612623,   0.110017,       1727
         74,   0.291643,   0.595793,   0.112564,       1759
         75,   0.302243,   0.593861,   0.103896,       1694
         76,   0.309497,   0.586957,   0.103547,       1748
         77,   0.280814,   0.622674,   0.096512,       1720
         78,   0.293364,   0.609430,   0.097206,       1718
         79,   0.308102,   0.573625,   0.118273,       1691
         80,   0.291161,   0.600809,   0.108030,       1731
         81,   0.299645,   0.590426,   0.109929,       1692
         82,   0.289397,   0.611599,   0.099004,       1707
         83,   0.297012,   0.592267,   0.110721,       1707
         84,   0.297809,   0.587330,   0.114861,       1689
         85,   0.296620,   0.576340,   0.127040,       1716
         86,   0.293880,   0.593533,   0.112587,       1732
         87,   0.290473,   0.605494,   0.104033,       1711
         88,   0.276141,   0.613518,   0.110341,       1731
         89,   0.303104,   0.587340,   0.109556,       1643
         90,   0.285884,   0.604527,   0.109589,       1679
         91,   0.302271,   0.576005,   0.121724,       1717
         92,   0.285041,   0.601885,   0.113074,       1698
         93,   0.294574,   0.586762,   0.118664,       1677
         94,   0.288176,   0.607249,   0.104575,       1683
         95,   0.286305,   0.597403,   0.116293,       1694
         96,   0.285114,   0.609844,   0.105042,       1666
         97,   0.277204,   0.615198,   0.107599,       1645
         98,   0.296096,   0.599399,   0.104505,       1665
         99,   0.285798,   0.599765,   0.114437,       1704
        100,   0.293584,   0.592615,   0.113801,       1652
        101,   0.279646,   0.612979,   0.107375,       1695
