COORDINATION STATS (T=total B=bulk S=surface So=surface only)
      Frame,       Type,  Avg Total,   Avg Bulk,   Avg Surf,  Avg Surfo,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,        S0o,        S1o,        S2o,        S3o,        S4o,        S5o,        S6o,        S7o,        S8o,        S9o,       S10o,       S11o,       S12o,       S13o,       S14o,       S15o,       S16o,       S17o,       S18o,       S19o,       S20o
          1,      Total,   8.299465,  10.148867,   6.031746,   3.571429,          0,          0,          0,          8,         61,         41,         46,         31,        175,         34,          0,          0,        161,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        144,          0,          0,          0,        161,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         61,         41,         46,         31,         31,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          2,         36,          6,        111,         32,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          1,          1,  10.471698,  12.024242,   7.910000,   4.990000,          0,          0,          0,          0,          0,          4,          0,         31,         31,         34,          0,          0,        161,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        161,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,         31,         31,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         33,         32,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          1,          2,   6.354730,   8.000000,   4.796053,   2.638158,          0,          0,          0,          8,         61,         37,         46,          0,        144,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        144,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         61,         37,         46,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          2,         36,          5,         78,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          2,      Total,   8.295900,  10.148867,   6.023810,   3.563492,          0,          0,          0,          8,         63,         35,         50,         33,        174,         33,          0,          1,        160,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,        139,          3,          0,          1,        160,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         63,         35,         50,         31,         35,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          1,         37,          3,        112,         36,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          2,          1,  10.456604,  12.018182,   7.880000,   4.980000,          0,          0,          0,          0,          0,          3,          1,         31,         35,         30,          0,          1,        160,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        160,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          1,         31,         35,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         33,         36,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          2,          2,   6.361486,   8.006944,   4.802632,   2.631579,          0,          0,          0,          8,         63,         32,         49,          2,        139,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,        139,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         63,         32,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          1,         37,          3,         79,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          3,      Total,   8.335116,  10.210356,   6.035714,   3.571429,          0,          0,          0,          7,         64,         38,         46,         31,        176,         34,          0,          0,        143,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        143,          1,          0,          0,        143,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         64,         38,         46,         31,         33,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          0,         38,          3,        114,         31,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          3,          1,  10.539623,  12.133333,   7.910000,   4.990000,          0,          0,          0,          0,          0,          4,          0,         30,         33,         33,          0,          0,        143,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        143,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,         30,         33,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,         31,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          3,          2,   6.361486,   8.006944,   4.802632,   2.638158,          0,          0,          0,          7,         64,         34,         46,          1,        143,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        143,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         64,         34,         46,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          0,         38,          3,         79,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          4,      Total,   8.288770,  10.126214,   6.035714,   3.579365,          0,          0,          0,          7,         62,         37,         51,         38,        165,         36,          0,          4,        157,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,        133,          4,          0,          4,        157,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         62,         37,         51,         31,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          2,         36,          9,        109,         31,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
