Q6Q6 BOND COORDINATION
      Frame,  Avg Total,   Avg Bulk,   Avg Surf,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,       T>20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,       B>20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,       S>20
          1,   7.115865,  12.419214,   3.457831,        129,         67,         53,         33,         27,          4,          7,          6,         15,          8,         18,         12,         10,          9,         14,         19,         20,         29,         72,          5,          2,          2,         34,         13,         10,          3,          4,          0,          0,          0,          0,          0,          1,          0,          1,          3,         11,         19,         20,         29,         72,          5,          2,          2,         95,         54,         43,         30,         23,          4,          7,          6,         15,          8,         17,         12,          9,          6,          3,          0,          0,          0,          0,          0,          0,          0
          2,   7.194296,  12.050209,   3.590062,        135,         59,         45,         42,         27,          2,          3,          6,         17,         19,         13,         13,          3,          9,         10,         18,         22,         45,         64,          9,          0,          0,         38,         16,          7,          5,          8,          0,          0,          0,          0,          0,          0,          0,          0,          1,          8,         17,         22,         44,         64,          9,          0,          0,         97,         43,         38,         37,         19,          2,          3,          6,         17,         19,         13,         13,          3,          8,          2,          1,          0,          1,          0,          0,          0,          0
          3,   7.058824,  12.216450,   3.448485,        135,         60,         50,         36,         32,          6,          4,         10,         12,          8,         15,         10,         11,          8,          8,         19,         30,         36,         64,          5,          2,          0,         37,         17,          6,          3,          2,          1,          0,          1,          0,          0,          0,          0,          1,          5,          5,         17,         30,         35,         64,          5,          2,          0,         98,         43,         44,         33,         30,          5,          4,          9,         12,          8,         15,         10,         10,          3,          3,          2,          0,          1,          0,          0,          0,          0
          4,   6.923351,  11.783333,   3.289720,        150,         51,         53,         34,         28,          0,          6,         13,          7,         13,         12,         16,          8,          8,         15,         21,         29,         27,         62,          7,          1,          0,         35,         16,         12,          7,          5,          0,          0,          0,          0,          0,          0,          1,          1,          6,         11,         20,         29,         27,         62,          7,          1,          0,        115,         35,         41,         27,         23,          0,          6,         13,          7,         13,         12,         15,          7,          2,          4,          1,          0,          0,          0,          0,          0,          0
          5,   6.837790,  11.931330,   3.219512,        139,         64,         60,         25,         28,          3,         10,         12,          6,          8,         17,         11,         11,         10,          9,         24,         31,         27,         63,          2,          1,          0,         30,         22,          8,          4,          4,          0,          1,          0,          0,          1,          0,          2,          3,          4,          8,         22,         31,         27,         63,          2,          1,          0,        109,         42,         52,         21,         24,          3,          9,         12,          6,          7,         17,          9,          8,          6,          1,          2,          0,          0,          0,          0,          0,          0
          6,   7.005348,  12.153191,   3.294479,        131,         73,         46,         35,         30,          2,          8,          6,         10,         15,         15,          9,         10,         11,          9,         21,         23,         34,         63,          8,          2,          0,         33,         15,          8,          4,         10,          0,          0,          0,          0,          0,          0,          0,          2,          6,          6,         21,         23,         34,         63,          8,          2,          0,         98,         58,         38,         31,         20,          2,          8,          6,         10,         15,         15,          9,          8,          5,          3,          0,          0,          0,          0,          0,          0,          0
          7,   6.773619,  12.122807,   3.111111,        138,         69,         58,         24,         27,          8,          7,          6,          8,         17,         11,         13,         10,          9,         25,         15,         19,         31,         58,          6,          2,          0,         33,          9,         13,          5,          3,          0,          0,          0,          0,          2,          0,          1,          3,          5,         25,         14,         19,         30,         58,          6,          2,          0,        105,         60,         45,         19,         24,          8,          7,          6,          8,         15,         11,         12,          7,          4,          0,          1,          0,          1,          0,          0,          0,          0
          8,   6.356506,  11.733624,   2.647590,        179,         55,         38,         30,         24,          3,          9,         10,         16,         13,          8,          4,         11,         13,         24,         24,         17,         26,         53,          4,          0,          0,         42,         12,          3,          2,          5,          0,          0,          0,          1,          0,          2,          1,          4,         10,         23,         24,         17,         26,         53,          4,          0,          0,        137,         43,         35,         28,         19,          3,          9,         10,         15,         13,          6,          3,          7,          3,          1,          0,          0,          0,          0,          0,          0,          0
          9,   6.670232,  11.783898,   2.956923,        156,         55,         57,         29,         25,          3,          4,         14,          9,         15,          9,          8,         12,         16,         13,         21,         18,         27,         62,          8,          0,          0,         38,         11,         10,          7,          5,          0,          0,          0,          0,          1,          0,          0,          5,         12,         11,         21,         18,         27,         62,          8,          0,          0,        118,         44,         47,         22,         20,          3,          4,         14,          9,         14,          9,          8,          7,          4,          2,          0,          0,          0,          0,          0,          0,          0
         10,   7.055258,  12.232759,   3.404255,        132,         62,         63,         34,         22,          4,          4,         12,          6,         15,          9,          7,         10,         14,         22,         22,         18,         28,         69,          4,          4,          0,         31,         11,         13,          9,          3,          0,          0,          0,          0,          0,          0,          0,          0,          6,         17,         20,         17,         28,         69,          4,          4,          0,        101,         51,         50,         25,         19,          4,          4,         12,          6,         15,          9,          7,         10,          8,          5,          2,          1,          0,          0,          0,          0,          0
