SURFACE LAYER - Curvature histogram (degrees v no. of particles)
      Frame,          1,          2,          3,          4,          5,          6,          7,          8,          9,         10,         11,         12,         13,         14,         15,         16,         17,         18,         19,         20,         21,         22,         23,         24,         25,         26,         27,         28,         29,         30,         31,         32,         33,         34,         35,         36,         37,         38,         39,         40,         41,         42,         43,         44,         45,         46,         47,         48,         49,         50,         51,         52,         53,         54,         55,         56,         57,         58,         59,         60,         61,         62,         63,         64,         65,         66,         67,         68,         69,         70,         71,         72,         73,         74,         75,         76,         77,         78,         79,         80,         81,         82,         83,         84,         85,         86,         87,         88,         89,         90,         91,         92,         93,         94,         95,         96,         97,         98,         99,        100,        101,        102,        103,        104,        105,        106,        107,        108,        109,        110,        111,        112,        113,        114,        115,        116,        117,        118,        119,        120,        121,        122,        123,        124,        125,        126,        127,        128,        129,        130,        131,        132,        133,        134,        135,        136,        137,        138,        139,        140,        141,        142,        143,        144,        145,        146,        147,        148,        149,        150,        151,        152,        153,        154,        155,        156,        157,        158,        159,        160,        161,        162,        163,        164,        165,        166,        167,        168,        169,        170,        171,        172,        173,        174,        175,        176,        177,        178,        179,        180
          1,         75,         17,         17,         12,         25,          8,         12,          4,          6,          4,          0,          1,          0,          0,          0,          0,          0,          0,          1,          2,          7,          6,          9,          5,          9,          6,         13,          2,          2,          0,          0,          0,          1,          0,          1,          0,          2,          0,          0,          2,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          2,         80,          7,         14,         16,         15,         17,          8,          7,         13,          4,          0,          1,          1,          0,          0,          1,          0,          0,          3,          6,          7,          6,          8,          6,          7,          9,          6,          2,          3,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          3,         79,          9,         15,         13,         25,         15,          6,          6,          7,          3,          2,          2,          1,          0,          0,          0,          0,          1,          1,          5,          7,          3,          8,          7,         11,          8,          6,          4,          1,          0,          0,          0,          0,          0,          0,          1,          2,          0,          0,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          4,         76,          9,         16,         22,         15,         13,          9,          7,          8,          3,          0,          1,          1,          0,          0,          0,          2,          0,          5,          3,         10,          2,          4,          8,          9,          8,          6,          1,          3,          1,          1,          0,          0,          0,          0,          1,          0,          1,          0,          0,          2,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          5,         69,         21,         11,         25,         13,         11,          9,          9,          4,          3,          4,          1,          0,          0,          0,          0,          0,          1,          2,          4,          1,          7,          9,          6,         12,          7,         10,          4,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          2,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          6,         71,          8,         18,         16,         24,         13,         13,          7,          4,          4,          1,          1,          0,          0,          0,          0,          0,          1,          2,          2,          2,          9,          4,          9,         12,         10,          8,          2,          3,          1,          0,          0,          0,          0,          0,          0,          2,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          7,         77,         14,         21,         26,         11,         13,          3,          8,          5,          1,          2,          0,          0,          0,          0,          0,          0,          0,          1,          3,          1,          9,         11,          8,         10,          5,          9,          5,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          2,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          8,         72,         16,         16,         20,         11,         17,         11,          8,          1,          4,          1,          1,          1,          0,          0,          0,          0,          2,          2,          5,          5,          8,          6,          8,         13,          4,          5,          5,          0,          2,          1,          0,          0,          0,          1,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          9,         71,          9,         15,         17,         10,         14,         10,         16,          9,          1,          3,          2,          0,          0,          1,          1,          3,          1,          4,          4,          1,          9,          5,          7,          5,          8,          3,          6,          3,          2,          0,          2,          0,          0,          0,          0,          0,          2,          2,          1,          0,          1,          0,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         10,         75,          9,         18,         20,         12,         18,         10,          8,          4,          0,          1,          0,          2,          0,          0,          2,          3,          1,          1,          5,          3,          6,          9,          9,          9,          4,          7,          5,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          2,          2,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
