SURFACE LAYER - Geometry
      Frame,       Rmin,       Rmax,       Rdif,       Ravg,       Rstd,      Rskew,      Rkurt,    N Total,     N Surf
          1,   9.265661,  13.522181,   4.256520,  11.276357,   0.857942,  -0.065406,  -0.094581,        561,        252
          2,   9.259949,  13.600283,   4.340334,  11.261678,   0.854678,  -0.088256,  -0.158949,        561,        252
          3,   9.110882,  13.752183,   4.641300,  11.284719,   0.871933,  -0.090806,   0.004124,        561,        252
          4,   9.153949,  13.422304,   4.268355,  11.282508,   0.857460,  -0.125193,  -0.149006,        561,        252
          5,   9.070435,  13.599444,   4.529009,  11.283688,   0.870050,  -0.101375,  -0.071831,        561,        252
          6,   9.230593,  13.415600,   4.185006,  11.282104,   0.862065,  -0.138238,  -0.219546,        561,        252
          7,   9.217424,  13.459054,   4.241630,  11.283453,   0.866252,  -0.108563,  -0.256465,        561,        252
          8,   9.194913,  13.488455,   4.293542,  11.259007,   0.843989,  -0.072797,  -0.215029,        561,        252
          9,   9.090886,  13.717035,   4.626149,  11.281241,   0.877928,  -0.107406,  -0.113209,        561,        252
         10,   9.146761,  13.479259,   4.332498,  11.280206,   0.862169,  -0.105936,  -0.133592,        561,        252
         11,   9.097194,  13.576968,   4.479774,  11.277754,   0.866172,  -0.119691,  -0.230997,        561,        252
         12,   9.266829,  13.609709,   4.342880,  11.276334,   0.863277,  -0.020477,  -0.171212,        561,        252
         13,   9.269120,  13.538975,   4.269855,  11.297831,   0.856885,  -0.137137,  -0.278350,        561,        252
         14,   9.178263,  13.650772,   4.472509,  11.268378,   0.872051,  -0.059127,  -0.166983,        561,        252
         15,   9.055329,  13.797791,   4.742462,  11.296161,   0.895375,  -0.105477,  -0.017116,        561,        252
         16,   8.739030,  13.546652,   4.807622,  11.293613,   0.892011,  -0.268966,   0.089471,        561,        253
         17,   8.183758,  13.679966,   5.496208,  11.290941,   0.898148,  -0.323499,   0.247023,        561,        254
         18,   8.181944,  13.563787,   5.381843,  11.299266,   0.892958,  -0.268114,   0.097555,        561,        254
         19,   8.267444,  13.700229,   5.432785,  11.295972,   0.894643,  -0.276647,   0.318391,        561,        254
         20,   9.116206,  13.388145,   4.271939,  11.276400,   0.841554,  -0.132481,  -0.127042,        561,        253
         21,   9.066557,  13.681431,   4.614874,  11.290223,   0.861875,  -0.174810,  -0.046116,        561,        254
         22,   8.396457,  13.667092,   5.270635,  11.275711,   0.887197,  -0.195571,   0.176870,        561,        255
